,Company,Date,Price,Share Total,Type,Price_m
181,Comet Holding AG,30.08.2017,52474.0,400,Sale,0.1
182,Schaffner Holding AG,30.08.2017,44000.0,500,Sale,0.0
183,Siegfried Holding AG,30.08.2017,934076.0,3124,Sale,0.9
184,Siegfried Holding AG,30.08.2017,155496.0,528,Purchase,0.2
185,Sonova Holding AG,30.08.2017,94543.0,588,Sale,0.1
186,nebag ag,30.08.2017,10500.0,1000,Sale,0.0
187,APG SGA SA,29.08.2017,16590.0,42,Purchase,0.0
188,Bellevue Group AG,29.08.2017,41697.0,2034,Purchase,0.0
189,Hochdorf Holding AG,29.08.2017,7860.0,30,Purchase,0.0
190,RELIEF THERAPEUTICS Holding AG,29.08.2017,13.0,1315,Sale,0.0
191,nebag ag,29.08.2017,132877.0,12655,Sale,0.1
192,Bossard Holding AG,28.08.2017,102500.0,500,Sale,0.1
193,Edisun Power Europe AG,28.08.2017,24525.0,500,Purchase,0.0
194,Hochdorf Holding AG,28.08.2017,2662.0,10,Purchase,0.0
195,RELIEF THERAPEUTICS Holding AG,28.08.2017,4655.0,465500,Sale,0.0
196,AEVIS VICTORIA SA,25.08.2017,1044341.0,17629,Purchase,1.0
197,Edisun Power Europe AG,25.08.2017,15183.0,298,Purchase,0.0
198,Hypothekarbank Lenzburg AG,25.08.2017,278159.0,62,Sale,0.3
199,LEM Holding SA,25.08.2017,48658.0,40,Purchase,0.0
200,Sonova Holding AG,25.08.2017,68007.0,1000,Sale,0.1
201,VAT Group AG,25.08.2017,516360.0,4000,Sale,0.5
202,VZ Holding AG,25.08.2017,145925.0,487,Sale,0.1
203,nebag ag,25.08.2017,57318.0,5447,Sale,0.1
204,Banque Cantonale de Genève,24.08.2017,64240.0,400,Sale,0.1
205,Edisun Power Europe AG,24.08.2017,510180.0,17006,Purchase,0.5
206,LEM Holding SA,24.08.2017,48326.0,40,Purchase,0.0
207,VP Bank AG,24.08.2017,55382.0,442,Sale,0.1
208,VZ Holding AG,24.08.2017,99662.0,335,Purchase,0.1
209,Vontobel Holding AG,24.08.2017,618472.0,10000,Sale,0.6
210,Arbonia AG,23.08.2017,6329.0,379,Purchase,0.0
