,Antwort,Antwortdatum,Kategorie,Lat,Long,Meldedatum,Meldung,URL
64,"
Diese Reparatur wird von uns in den kommenden Wochen ausgeführt.
","10:37, 18. April 2013",In der Kategorie Strasse/Trottoir/Platz gemeldet,47.3624774240425,8.56698557359009,"07:02, 17. April 2013","<p>
Strassenbelag Schlagloch</p>",https://www.zueriwieneu.ch/report/84
65,"
Freundliche Grüsse
","08:55, 19. April 2013",In der Kategorie Strasse/Trottoir/Platz gemeldet,47.4002479256479,8.54809421530193,"07:04, 17. April 2013","<p>
Grosses Schlagloch auf Strasse: Vom Schöneichtunnel herkommend, Richtg. Hirschwiesentunnel.</p>",https://www.zueriwieneu.ch/report/85
66,"
Diese Reparatur wird von uns in den kommenden Wochen ausgeführt. 
","09:13, 17. April 2013",In der Kategorie Strasse/Trottoir/Platz gemeldet,47.3748560213172,8.54414379160575,"07:42, 17. April 2013","<p>
Fehlende Pflastersteine</p>",https://www.zueriwieneu.ch/report/86
67,"
Diese Reparatur wird von uns in den kommenden Wochen ausgeführt.
","15:40, 17. April 2013",In der Kategorie Strasse/Trottoir/Platz gemeldet,47.3879315223329,8.53928035716856,"07:45, 17. April 2013","<p>
Schachtdeckel 5 cm unter Belag abgesenkt! Schaffhauserstrasse, Höhe Ecke Kronenstrasse 48</p>",https://www.zueriwieneu.ch/report/87
68,"
Diesen Abfall nimmt ERZ am Dienstag 23. April mit.
 
Freundliche Grüsse
","13:41, 23. April 2013",In der Kategorie Abfall/Sammelstelle gemeldet,47.4148010398587,8.4756306243438,"07:55, 17. April 2013","<p>
Bitte Abfallsäcke aufräumen. Die Bewohner konnten über das Wochenende die Metallsachen nicht entsorgen, da der Container überfüllt war.</p>",https://www.zueriwieneu.ch/report/88
69,"
Diese Reparatur wird von uns in den kommenden Wochen ausgeführt.
","10:27, 18. April 2013",In der Kategorie Strasse/Trottoir/Platz gemeldet,47.3882557493573,8.52392908854956,"08:09, 17. April 2013","<p>
Boardsteinkante ist nach unten eingesackt. Diese befindet sich direkt bei der Hofzufahrt. Gibt im Auto jeweils einen heftigen Schlag.</p>",https://www.zueriwieneu.ch/report/89
70,"
Diesen Abfall nimmt ERZ am 23. April 2013 mit. 
","14:17, 23. April 2013",In der Kategorie Abfall/Sammelstelle gemeldet,47.4107780906298,8.5724299670489,"08:15, 17. April 2013","<p>
Ilegalle deponie Überlandstrasse 215 beim Brunnen</p>",https://www.zueriwieneu.ch/report/90
71,"
Diesen Abfall nimmt ERZ am 23. April 2013 mit.
","19:19, 22. April 2013",In der Kategorie Abfall/Sammelstelle gemeldet,47.3799420183175,8.51578608735779,"08:23, 17. April 2013","<p>
Illegale Entsorgung</p>",https://www.zueriwieneu.ch/report/91
72,"
Besten Dank für die Meldung
","08:53, 17. April 2013",In der Kategorie Graffiti gemeldet,47.4160537612055,8.53938301333337,"08:25, 17. April 2013","<p>
Tags an Hauswand.</p>",https://www.zueriwieneu.ch/report/92
73,"
Diese Reparatur wird von uns in den kommenden Wochen ausgeführt.
","13:56, 19. April 2013",In der Kategorie Strasse/Trottoir/Platz gemeldet,47.380688932076,8.54210218739305,"08:39, 17. April 2013","<p>
Grosse Delle im Gehweg. Sehr gefährlich. Man kann sich leicht den Fuss vertrampen. </p>",https://www.zueriwieneu.ch/report/93
74,"
","11:40, 19. April 2013",In der Kategorie Strasse/Trottoir/Platz gemeldet,47.3655815722836,8.54946863674348,"08:48, 17. April 2013","<p>
Beim Neubau an der Mühlebachstrasse 8 sind immer noch 2 Ausmess-Punkte (2cm hohe Schrauben) am Trottoir-Randstein fest verschraubt.</p>",https://www.zueriwieneu.ch/report/94
75,"
Dieser Schaden wird im Rahmen des anstehenden Strassenbauprojekts 02 323 von 2016-2018 behoben.
","16:33, 17. April 2013",In der Kategorie Strasse/Trottoir/Platz gemeldet,47.3724252830667,8.50537192767648,"08:48, 17. April 2013","<p>
Ganze Gutstrasse Ein einziges Schlagloch</p>",https://www.zueriwieneu.ch/report/95
76,"
Diese Reparatur wird von uns in den kommenden Wochen ausgeführt.
","16:37, 17. April 2013",In der Kategorie Strasse/Trottoir/Platz gemeldet,47.3735307262844,8.50303225297326,"08:53, 17. April 2013","<p>
Absperrpfosten geknickt</p>",https://www.zueriwieneu.ch/report/96
